price,avg_contracts
0,1372.4196911104173
1,548.2694333893772
2,509.86845476846855
3,460.27268657317626
4,383.5701197338691
5,324.3961739195268
6,314.79602932783536
7,299.2923973746101
8,279.65164192520683
9,262.13759049689486
10,259.2884236683862
11,259.5925325493241
12,247.79270762595758
13,246.74818956495739
14,235.88486017273803
15,231.6477348517691
16,233.8544384537621
17,232.8527236899428
18,218.4328559497847
19,218.4258040015786
20,217.34936393666194
21,220.22193464462737
22,216.45992473353795
23,220.33460219714772
24,207.98044078107026
25,212.27150068425237
26,217.030743767363
27,222.84469072444801
28,212.7215969363867
29,206.4569543468302
30,202.8334254606804
31,217.79232613844113
32,210.35613316544672
33,209.6330434972017
34,212.12153728909306
35,209.3772420040226
36,215.05469970855665
37,204.47674639755843
38,217.85295043823587
39,210.86090666000004
40,214.4238275379971
41,213.97678318198078
42,221.71046405648354
43,242.25298686192605
44,221.75862015564823
45,221.0924058603753
46,221.81483377901472
47,220.0880916690202
48,217.1226032689187
49,220.20245688169138
50,219.25365258652752
51,234.58302442892492
52,235.16080506338835
53,234.56791667489983
54,227.62934376851015
55,233.1599218590793
56,246.1393583894379
57,248.46698658983155
58,248.45073904224884
59,235.07597491952205
60,218.0550932368148
61,230.32108439084416
62,241.93417620662896
63,227.04615626776743
64,220.54651924008536
65,218.74843867772154
66,220.3383715253547
67,221.59994689293495
68,216.81502759398813
69,219.73039341863972
70,218.90844536584527
71,231.2923602631936
72,219.9707176946325
73,227.86086860638486
74,227.33413572626847
75,216.06080381763198
76,232.98465707676937
77,236.65340405988033
78,230.2331040314843
79,237.29008909391615
80,229.84985342007516
81,245.29955313823712
82,236.14807648755018
83,242.50056789281683
84,245.9983526310835
85,242.88345892881037
86,266.922512945058
87,255.35104976360284
88,255.16110818597744
89,261.32461151253267
90,258.0008701221608
91,276.15315154461484
92,284.1296747020044
93,275.6704921099225
94,286.9956747020614
95,284.9423868254705
96,302.36258192145783
97,315.0453188143377
98,337.9498271142959
99,409.9837934089673
