price_bin,avg_spread,avg_yes_spread,median_spread,n_markets
2.5,3.0637849235635213,3.0637849235635213,3.0,1897
7.5,8.993055555555555,8.993055555555555,9.0,1584
12.5,15.525132275132275,15.525132275132275,19.0,756
17.5,22.27253668763103,22.27253668763103,29.0,477
22.5,27.087078651685392,27.087078651685392,38.0,356
27.5,32.003311258278146,32.003311258278146,47.0,302
32.5,31.32075471698113,31.32075471698113,26.5,212
37.5,35.09345794392523,35.09345794392523,26.5,214
42.5,46.68205128205128,46.68205128205128,63.0,195
47.5,86.14313160422671,86.14313160422671,96.0,1041
52.5,98.15472149848603,98.15472149848603,98.0,142010
57.5,85.01748773725741,85.01748773725741,87.0,4689
62.5,77.57890787347033,77.57890787347033,78.0,34648
67.5,63.62418548264888,63.62418548264888,63.0,13198
72.5,46.26372155287818,46.26372155287818,55.0,747
77.5,45.53319672131148,45.53319672131148,49.0,2440
82.5,31.236031331592688,31.236031331592688,31.0,1915
87.5,27.2592686642966,27.2592686642966,29.0,15752
92.5,16.867766023646546,16.867766023646546,18.0,12856
97.5,4.899991443118128,4.899991443118128,3.0,46746
