pct_through,win_rate,expected_win_rate,excess_win_rate,var_excess,total_volume,n_trades,se_excess,z_stat,p_value,significant
0.0,0.443484252909405,0.45344797212249316,-0.009963719213111366,0.15631521112205102,135303406.77000058,1757404,0.0002982392616409656,-33.408475994371784,0.0,True
10.0,0.48530381194251954,0.49609554981764714,-0.010791737875121369,0.16720405927133486,170642702.49000597,1697481,0.0003138491432365332,-34.38511178916346,0.0,True
20.0,0.48978617133133345,0.4966354122469878,-0.00684924091568135,0.16059411636222454,277322015.3000202,2213127,0.0002693777038881669,-25.426161173772705,0.0,True
30.0,0.46368977920607984,0.48163427559189553,-0.017944496385736676,0.14367964183480583,367577352.10001266,2661124,0.00023236197675925,-77.22647498531548,0.0,True
40.0,0.4745544578456629,0.48957641265565816,-0.015021954810004514,0.1692613121677035,153069801.55999902,1815092,0.00030537222282244636,-49.19227646562596,0.0,True
50.0,0.482722003877797,0.49721838704605925,-0.014496383168264605,0.1672911428905503,163000874.94999838,2385375,0.0002648244886822532,-54.739587114460306,0.0,True
60.0,0.48960630902030294,0.5024335379168784,-0.012827228896538655,0.1675370661015753,217896979.30999812,3628836,0.00021486802020216598,-59.69817604532175,0.0,True
70.0,0.4947651413575679,0.5077983126270006,-0.013033171269484703,0.16534660325451878,349532003.90998435,5126786,0.00017958706132600914,-72.5729970369371,0.0,True
80.0,0.48067124846418613,0.4929319860437841,-0.012260737579639898,0.17264430280649615,574889900.0799725,6632477,0.00016133858711068493,-75.9938325927481,0.0,True
90.0,0.46987094782178984,0.4800063447293014,-0.010135396907390523,0.1687510178140021,5741875453.182685,39826759,6.509321428805356e-05,-155.7058906714744,0.0,True
