hours_bin,hours_label,win_rate,expected_win_rate,excess_win_rate,var_excess,mean_abs_error,n_trades,se_excess,z_stat,p_value,significant
0.5,<1h,0.4845555043332083,0.4939994955704432,-0.009443991237253573,0.14788827230557597,0.302115111161756,18789542,8.871739283492091e-05,-106.45027920090358,0.0,True
1.5,1-2h,0.4716875597566943,0.4806243133739018,-0.008936753617135947,0.17914207502511661,0.3539563016057304,9768780,0.00013541869854600947,-65.99349804044691,0.0,True
3.0,2-4h,0.4692274575345754,0.4803211251507686,-0.01109366761608634,0.19950676312721607,0.3943215578113027,11681209,0.00013068775996576503,-84.88681433511782,0.0,True
6.0,4-8h,0.47743563495235264,0.4894276727139404,-0.011992037761681581,0.18394511353153595,0.36750660195429946,5615004,0.00018099604817678044,-66.25579885572337,0.0,True
16.0,8-24h,0.4936075706765339,0.5100118498885473,-0.016404279212031206,0.17330687358921923,0.3462662321193411,7787415,0.00014918021688451486,-109.96283257002018,0.0,True
48.0,1-3d,0.46185710670796487,0.47518133441602706,-0.013324227708081459,0.16532112878097158,0.33546521567389526,4536756,0.00019089364464285993,-69.79922109512634,0.0,True
120.0,3-7d,0.44218266256659877,0.4606365618543864,-0.018453899287851988,0.1525216631680825,0.31086942730372535,2774263,0.00023447252013205632,-78.70388938310828,0.0,True
444.0,1-4w,0.44971572854222847,0.4644727013517788,-0.014756972809565757,0.13945894509450346,0.29794242085912903,2910950,0.00021887986640385605,-67.42042131155915,0.0,True
1000.0,>4w,0.4636926778005584,0.46753618085539383,-0.0038435030547754718,0.1296105403545253,0.278383683971838,3882440,0.00018271229984744632,-21.035820018600628,0.0,True
