risk_adj_volume_bin,win_rate,expected_win_rate,excess_win_rate,var_excess,n_trades,se_excess,z_stat,p_value,significant
0.01,0.011526018978151488,0.01940782764325247,-0.007881808665107652,0.01131164536961228,740325,0.0001236094525280325,-63.76380207104464,0.0,True
0.01778279410038923,0.027369580193873512,0.03912556211925488,-0.01175598192538809,0.026112450818787027,368694,0.0002661281300831999,-44.17414243925588,0.0,True
0.03162277660168379,0.14954756624633764,0.16016107936617632,-0.01061351311976685,0.026171061677311085,617770,0.0002058245920450262,-51.56581637943943,0.0,True
0.05623413251903491,0.15307282859413213,0.1664197448185663,-0.01334691622437971,0.04572181488012176,776467,0.00024266113748365296,-55.00228162937229,0.0,True
0.1,0.21994948615223828,0.2317850722870769,-0.011835586134817753,0.06599329461936114,1148200,0.0002397403494047167,-49.36835273747581,0.0,True
0.1778279410038923,0.3139227523333124,0.32504170193415344,-0.011118949600901606,0.0885877796448082,1768623,0.00022380473681671878,-49.68147573215703,0.0,True
0.31622776601683794,0.42035049699836047,0.43113100278213784,-0.01078050578378733,0.14161805924242296,3521742,0.0002005305527212705,-53.75991656878243,0.0,True
0.5623413251903491,0.41547202955119544,0.42864692867571136,-0.013174899124447841,0.1447488536518197,3764044,0.0001961011862270794,-67.18418882582228,0.0,True
1.0,0.4296048301894974,0.4426761623895908,-0.0130713322001935,0.15206768499337822,4427818,0.0001853205525974281,-70.53363492061433,0.0,True
1.7782794100389228,0.4464746101952442,0.45935370395966285,-0.012879093764440103,0.15742306504998957,5309966,0.0001721822234910693,-74.79920692921074,0.0,True
3.1622776601683795,0.46506566378970043,0.47806116832685897,-0.01299550453718958,0.17217289711565828,6566176,0.00016192955931219834,-80.25405980469814,0.0,True
5.623413251903491,0.49157149208263695,0.5040618750107155,-0.012490382928066285,0.17937924583096013,7060621,0.00015939131251151696,-78.36300944672742,0.0,True
10.0,0.5126672454540333,0.5229556473520144,-0.010288401898057652,0.1814504113913832,6550477,0.00016643417804975593,-61.81664138108645,0.0,True
17.78279410038923,0.5292088319577632,0.5398055749768512,-0.010596743019106824,0.18881900733241389,6655059,0.00016844064665473817,-62.91084265918034,0.0,True
31.622776601683793,0.5404624977837115,0.5511993568274658,-0.010736859043704135,0.19181864541603497,5735941,0.00018287025568972874,-58.712987539762004,0.0,True
56.23413251903491,0.55768590959076,0.567896642104407,-0.010210732513592388,0.19700362945600766,4607737,0.0002067727350938645,-49.381425984219945,0.0,True
100.0,0.5764986380622757,0.5847846806851679,-0.00828604262291046,0.19785813379901337,3109173,0.0002522635542621993,-32.84676871831458,0.0,True
177.82794100389228,0.5780679441161954,0.5879740314036312,-0.009906087287454778,0.20166552465227283,2186179,0.0003037197062474047,-32.61588590957432,0.0,True
316.22776601683796,0.5820490679702778,0.5896488279050586,-0.007599759934797558,0.1991096687719346,1237997,0.00040103878772949117,-18.95018678323891,0.0,True
562.341325190349,0.5947281327460088,0.6008361245947533,-0.006107991848736806,0.20121810615080774,725777,0.0005265406775649601,-11.600227881697238,0.0,True
1000.0,0.6081932944463735,0.6122562903891096,-0.004062995942736871,0.20132905669004145,429107,0.0006849682317371695,-5.931656030868146,2.9989437599908797e-09,True
1778.2794100389228,0.6077594481226285,0.6137713254124213,-0.006011877289788599,0.20384751257963765,244837,0.0009124607318749052,-6.588642206482157,4.438671652451376e-11,True
3162.2776601683795,0.6062576150748253,0.6141023280039456,-0.007844712929118178,0.20474255657549126,107517,0.0013799568035107873,-5.684752529325716,1.310022157419155e-08,True
5623.413251903491,0.6287724451603733,0.6271078315250884,0.0016646136352869022,0.205612288046616,42214,0.0022069692395241076,0.7542532109082978,0.45069719173254996,False
10000.0,0.6194830761414872,0.6239436083063432,-0.0044605321648568345,0.2099198636070833,15747,0.0036511346873862234,-1.2216838179831824,0.2218272180208649,False
17782.794100389227,0.6127578436470792,0.6218391402322759,-0.009081296585196711,0.21431252051861702,5769,0.006094997089100283,-1.4899591340965272,0.13623498141292156,False
