price,total_volume
0,0.0
1,7728460.760000278
2,7187177.119999869
3,11997859.080001399
4,12256676.320000663
5,13052728.850000786
6,14263792.140001321
7,15838595.569998078
8,16874560.399999358
9,17417902.589999977
10,19658185.199999586
11,19269662.720001556
12,19967017.440001708
13,21456482.319998942
14,22757944.859999154
15,25007114.249998182
16,24872234.239998683
17,27440850.560002267
18,26646615.359999806
19,27867233.68999893
20,31109301.400000416
21,30929961.509999916
22,33482549.320000675
23,36078092.32999608
24,35365742.88000267
25,38855555.25
26,37536352.61999684
27,42113194.11000433
28,42616346.9199947
29,42214734.500004336
30,46455101.699995786
31,50003284.26999939
32,48648473.92000032
33,50815571.730005905
34,54131956.91999629
35,53960420.14999918
36,57617825.039999284
37,59271263.48001095
38,66248324.09998984
39,67104868.34999971
40,70488745.60000095
41,62050804.249999784
42,67737393.36000189
43,83466175.98000154
44,81909003.44000475
45,82949614.6500081
46,83296434.29998635
47,85705960.76000641
48,94153184.64000733
49,92638803.67001098
50,102278430.5
51,100180482.17998104
52,101896004.59998663
53,106958449.87999344
54,102307785.48000363
55,109494953.70000063
56,109246020.23998907
57,112855956.4200055
58,121133822.44001523
59,111374025.06000021
60,105116248.79998922
61,99674648.43000247
62,115592075.21999691
63,105413077.97999555
64,107805961.60000084
65,110920814.55000673
66,97108752.18000257
67,98408999.6799944
68,101009099.91999331
69,104255679.72000854
70,106732490.19999978
71,96835820.08999506
72,97367240.16000377
73,104088104.85001506
74,106296076.78001465
75,108187964.25
76,103497152.63998587
77,110100120.89998403
78,110426657.6399979
79,118332476.55000514
80,124505988.00000326
81,110982157.28999414
82,108588494.26000193
83,110403420.27000926
84,122926833.1199949
85,126516026.39999206
86,130248117.99999952
87,121980205.70999679
88,137320318.96000665
89,137411570.46999753
90,148641009.30001113
91,142153769.94000652
92,157017331.95997837
93,158989036.28999022
94,176137516.7800001
95,191891273.29999262
96,198377622.7200228
97,243874675.27000612
98,252771796.90002924
99,422373397.04998744
