price,trades
0,41633
1,1409610
2,704807
3,868895
4,798855
5,804740
6,755187
7,756002
8,754267
9,738285
10,758159
11,674822
12,671496
13,668900
14,689136
15,719688
16,664736
17,693214
18,677722
19,671485
20,715652
21,668805
22,703102
23,711923
24,708515
25,732186
26,665208
27,699926
28,715495
29,705077
30,763436
31,740618
32,722710
33,734553
34,750568
35,736339
36,744227
37,783427
38,800254
39,816006
40,821839
41,707289
42,727433
43,801259
44,839457
45,833735
46,816353
47,828546
48,903418
49,858568
50,932969
51,837368
52,833276
53,860341
54,832313
55,853842
56,792568
57,796858
58,840615
59,803015
60,803438
61,709449
62,770618
63,736953
64,763770
65,780108
66,667766
67,662812
68,685113
69,687639
70,696524
71,589680
72,614774
73,625761
74,631860
75,667639
76,584504
77,604205
78,614910
79,631244
80,677105
81,558562
82,560771
83,548519
84,594888
85,612814
86,567398
87,549076
88,611558
89,590817
90,640140
91,565675
92,600680
93,620146
94,652903
95,708883
96,683429
97,798035
98,763221
99,1040626
