price_bin,actual_win_rate,expected_win_rate,excess_win_rate,n_trades,total_volume_usd,upset_rate,se_win_rate,z_stat,p_value,significant
2.5,1.6546478912441926,2.7116950532436777,-1.057047161999485,4311310,47826772.58999955,1.6546478912441926,0.006143630519415891,-172.05578340996723,0.0,True
7.5,5.838006779370269,8.000705870489572,-2.162699091119303,3451058,77316640.19000849,5.838006779370269,0.012621006484678178,-171.3571016499204,0.0,True
12.5,11.191108086505567,13.035951583975324,-1.844843497469757,3124007,99623848.35000393,11.191108086505567,0.017836464411385266,-103.43100823794246,0.0,True
17.5,16.238140939616365,18.03047141036441,-1.7923304707480447,3170677,129147219.99998605,16.238140939616365,0.020711678974423747,-86.5371886538673,0.0,True
22.5,22.02190850316586,23.025710413272925,-1.0038019101070645,3267042,163206361.6800323,22.02190850316586,0.022926429226054684,-43.78361323560567,0.0,True
27.5,26.292028395548144,28.06415745758805,-1.7721290620399053,3327423,199549036.03994834,26.292028395548144,0.024133219842570282,-73.43110756045583,0.0,True
32.5,33.2536404879501,33.004665479703036,0.24897500824706498,3480028,245675182.27997166,33.2536404879501,0.025254688791428403,9.858565682724572,0.0,True
37.5,36.83167851138448,38.05226017954014,-1.2205816681556598,3741893,307037617.8599684,36.83167851138448,0.02493530827459743,-48.94993295106417,0.0,True
42.5,40.29162244148821,43.09741640633914,-2.8057939648509347,3715832,364638923.99003047,40.29162244148821,0.0254446790838004,-110.2703616583347,0.0,True
47.5,46.08770198707225,48.0610678341682,-1.9733658470959483,4132814,438610147.8000806,46.08770198707225,0.024519607788677178,-80.4811342866268,0.0,True
52.5,52.924560928196605,53.0110830749946,-0.08652214679799641,4004755,494722219.83993816,47.075439071803395,0.024942377354478875,-3.468881316658443,0.0005226302763798873,True
57.5,57.721567140741726,58.00603142743176,-0.28446428669003154,3843203,536509647.5800746,42.278432859258274,0.02519891461257268,-11.288751561866942,0.0,True
62.5,61.609135053424716,63.037807007906004,-1.4286719544812883,3576903,517324236.2499824,38.390864946575284,0.025714786495368645,-55.558382906993955,0.0,True
67.5,65.29116328735147,68.0264961695576,-2.735332882206137,3221560,484793850.31995636,34.708836712648534,0.02652247936716572,-103.13262362614645,0.0,True
72.5,72.5366979433004,73.05302429183172,-0.5163263485313223,2947781,484450815.88002187,27.463302056699604,0.025996067734651372,-19.86170961706977,0.0,True
77.5,77.45184347559976,78.07784638629653,-0.6260029106967693,2914766,534424290.039954,22.54815652440024,0.024477640527124114,-25.574479288683246,0.0,True
82.5,83.03180393741923,83.04844593640986,-0.016641998990635898,2706646,550194791.0700861,16.968196062580773,0.02281520336973976,-0.7294258447289801,0.4657412133181662,False
87.5,87.99729118984848,88.06171524176493,-0.06442405191644696,2761360,637486459.3799539,12.002708810151518,0.019557474471815467,-3.294088508681901,0.0009874140133343534,True
92.5,93.03410296767997,93.1093877913225,-0.07528482364253364,2952441,782857079.459981,6.965897032320029,0.01481559162667237,-5.081459150574796,3.7454656465207847e-07,True
97.5,97.06716719455044,97.66685236088283,-0.5996851663323923,3110849,1057226529.6099381,2.9328328054495643,0.009566220011551954,-62.687787402780394,0.0,True
