price,total_trades,wins,win_rate
0,37041,104.0,0.28076995761453527
1,2339220,21369.0,0.9135096314156
2,1375575,26114.0,1.8984061210766408
3,1564413,42340.0,2.706446443490306
4,1364548,47068.0,3.449347329665208
5,1407530,58865.0,4.182148870716787
6,1303293,64068.0,4.915855452304278
7,1271609,73631.0,5.790380533638878
8,1255693,87555.0,6.972643791117734
9,1209061,94089.0,7.781989494326589
10,1295252,115464.0,8.914404301247943
11,1164119,115545.0,9.9255316681542
12,1178635,130895.0,11.105643392568522
13,1122715,138897.0,12.371527947876354
14,1162887,150570.0,12.947947650975546
15,1235622,172017.0,13.921490552936092
16,1170847,178659.0,15.258953560969111
17,1155242,183013.0,15.841962117028293
18,1155721,193837.0,16.771954476902298
19,1151908,205128.0,17.80767214048344
20,1307618,272070.0,20.80653524194375
21,1223045,277659.0,22.702271788854866
22,1230219,279584.0,22.72636010336371
23,1218339,261112.0,21.43180182198879
24,1198040,261127.0,21.796183766819137
25,1298586,300092.0,23.109135629061146
26,1210430,291818.0,24.10862255562073
27,1246675,320582.0,25.7149617983837
28,1252447,362085.0,28.910205381944305
29,1218470,353768.0,29.033788275460207
30,1381799,412990.0,29.88784910106318
31,1354089,425669.0,31.435821426804296
32,1330541,457449.0,34.380676732246506
33,1318130,458407.0,34.777070546911155
34,1340650,484737.0,36.15686420766046
35,1438131,504489.0,35.07948858622754
36,1424776,508831.0,35.71305243771653
37,1442264,547520.0,37.962536678444444
38,1488500,575914.0,38.69089687604971
39,1442774,558257.0,38.693308861956204
40,1542791,617722.0,40.03925353466542
41,1433572,582886.0,40.659694804307
42,1490023,597830.0,40.12219945598155
43,1521563,621112.0,40.82065612794212
44,1555500,662279.0,42.57659916425587
45,1607887,708386.0,44.05695176340129
46,1567582,722781.0,46.1080185916909
47,1605738,727187.0,45.28677779313935
48,1654856,768963.0,46.467064203773624
49,1607466,769939.0,47.897684927706095
50,1776961,888521.0,50.00227917213715
51,1607381,837512.0,52.104137102528895
52,1655049,885946.0,53.529895489499104
53,1605699,878563.0,54.71529844634642
54,1567652,844832.0,53.891552461898435
55,1608001,899598.0,55.94511446199349
56,1555432,893212.0,57.42533264070689
57,1521445,900364.0,59.17821544649988
58,1490081,892246.0,59.87902671062848
59,1433466,850628.0,59.340647074991665
60,1542735,925090.0,59.964284209536956
61,1442790,884507.0,61.3053181682712
62,1488751,912833.0,61.31535763871863
63,1442113,894593.0,62.03348836048215
64,1424807,915996.0,64.28912828193573
65,1438184,933708.0,64.92270808185879
66,1340730,855931.0,63.840668889336406
67,1318316,859849.0,65.22328485734832
68,1330633,873228.0,65.62500704551894
69,1354039,928354.0,68.56183610664094
70,1381962,968960.0,70.1148077877684
71,1218618,864904.0,70.9741690997507
72,1252809,890600.0,71.08825048351345
73,1246449,925872.0,74.280776830821
74,1210360,918595.0,75.89436200799761
75,1298627,998577.0,76.89482815311864
76,1198219,937168.0,78.2134150768766
77,1218087,957013.0,78.56688397462578
78,1230111,950498.0,77.2692870805968
79,1223140,945565.0,77.30635904311853
80,1307465,1035385.0,79.19026513138019
81,1152574,947371.0,82.1961106184939
82,1155540,961795.0,83.23338006473163
83,1155113,972118.0,84.15782698316096
84,1171183,992485.0,84.74209410484954
85,1235642,1063649.0,86.08067708931875
86,1163192,1012560.0,87.05011726353001
87,1122858,984000.0,87.63352089044207
88,1178677,1047795.0,88.89585526823718
89,1164318,1048852.0,90.08294984703491
90,1298408,1182793.0,91.09563403799115
91,1210509,1116371.0,92.22327136766435
92,1257854,1170233.0,93.03408821691548
93,1270668,1197104.0,94.21060418614461
94,1303885,1239879.0,95.0911315031617
95,1411261,1352353.0,95.82586070188293
96,1366500,1319482.0,96.55923893157703
97,1568248,1525952.0,97.30297759027908
98,1383851,1357784.0,98.11634345027029
99,2348987,2327709.0,99.09416271780134
